Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 129.0.0.0,,,28-09-2024 16:39:26,28-09-2024 16:39:29,3.715s,PASSED
"click(findTestObject(""Object Repository/Objek_Login/a_Make Appointment""))",Chrome 129.0.0.0,,,28-09-2024 16:39:29,28-09-2024 16:39:30,0.653s,PASSED
"click(findTestObject(""Object Repository/Objek_Login/form_Demo account _b80bac""))",Chrome 129.0.0.0,,,28-09-2024 16:39:30,28-09-2024 16:39:30,0.480s,PASSED
"setText(findTestObject(""Object Repository/Objek_Login/input_Username_username""), findTestData(""Test Data Login"").getValue(1, 4))",Chrome 129.0.0.0,,,28-09-2024 16:39:30,28-09-2024 16:39:31,0.556s,PASSED
"setText(findTestObject(""Object Repository/Objek_Login/input_Password_password""), findTestData(""Test Data Login"").getValue(2, 4))",Chrome 129.0.0.0,,,28-09-2024 16:39:31,28-09-2024 16:39:32,0.544s,PASSED
"click(findTestObject(""Object Repository/Objek_Login/button_Login""))",Chrome 129.0.0.0,,,28-09-2024 16:39:32,28-09-2024 16:39:33,0.982s,PASSED
"notificationLoginFailed = verifyElementPresent(findTestObject(""Object Repository/Objek_Login/p_Login failed Please ensure the username a_eb55b5""), 0)",Chrome 129.0.0.0,,,28-09-2024 16:39:33,28-09-2024 16:39:33,0.452s,PASSED
takeScreenshot(),Chrome 129.0.0.0,,,28-09-2024 16:39:33,28-09-2024 16:39:33,0.359s,PASSED
if (notificationLoginFailed),Chrome 129.0.0.0,,,28-09-2024 16:39:33,28-09-2024 16:39:33,0.003s,PASSED
closeBrowser(),Chrome 129.0.0.0,,,28-09-2024 16:39:33,28-09-2024 16:39:34,0.114s,PASSED
